Average Degree of Seperation,3.509090909
Community  204 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,60
Length  4 ,16
Length  5 ,14
Average Degree of Seperation,3.218181818
Community  205 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  206 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  207 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,60
Length  4 ,16
Length  5 ,14
Average Degree of Seperation,3.218181818
Community  208 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  209 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,90
